,,,,,C-8  EDUCATIONAL LEVEL BY AGE AND SEX FOR POPULATION AGE 7 AND ABOVE - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table,State,Town,Town Name,Total/,Age-group,    Total,,,Illiterate,,,Literate,,,Educational level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Code,Code,,Rural/,,,,,,,,,,,Literate without,,,Below,,,Primary,,,Middle,,,Matric/Secondary,,,Higher secondary/Intermediate,,,Non-technical diploma or,,,Technical diploma or certificate,,,Graduate & above,,,Unclassified,,
,,,,Urban,,,,,,,,,,,educational level,,,Primary,,,,,,,,,,,,Pre-University/Senior secondary,,,certificate not equal to degree,,,not equal to degree ,,,,,,,,
,,,,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
C2308,1,800013,Srinagar (M Corp.+OG),Urban,80,10792,5317,5475,7507,3093,4414,3285,2224,1061,379,215,164,69,35,34,307,184,123,675,469,206,758,601,157,245,166,79,4,4,0,88,66,22,685,451,234,75,33,42
C2308,1,800013,Srinagar (M Corp.+OG),Urban,none,1636,1096,540,467,238,229,1169,858,311,700,586,114,59,35,24,42,22,20,69,47,22,100,65,35,60,35,25,1,1,0,6,3,3,103,46,57,29,18,11
C2308,1,800033,Anantnag (M Cl+OG),Urban,all,150592,77712,72880,58108,25767,32341,92484,51945,40539,1953,1163,790,12942,7011,5931,14916,8084,6832,20222,11114,9108,17968,10425,7543,10857,6268,4589,85,72,13,534,334,200,12666,7291,5375,341,183,158
C2308,1,800033,Anantnag (M Cl+OG),Urban,0-6,25166,13569,11597,25166,13569,11597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2308,1,800033,Anantnag (M Cl+OG),Urban,7,3440,1809,1631,1043,509,534,2397,1300,1097,55,44,11,2317,1242,1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,14,11
C2308,1,800033,Anantnag (M Cl+OG),Urban,8,3799,2050,1749,639,323,316,3160,1727,1433,36,23,13,3103,1694,1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,11
C2308,1,800033,Anantnag (M Cl+OG),Urban,9,3106,1652,1454,365,174,191,2741,1478,1263,18,14,4,2400,1281,1119,309,174,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,5
C2308,1,800033,Anantnag (M Cl+OG),Urban,10,4221,2211,2010,474,240,234,3747,1971,1776,25,17,8,2539,1344,1195,1170,600,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,3
C2308,1,800033,Anantnag (M Cl+OG),Urban,11,3677,1982,1695,276,146,130,3401,1836,1565,11,10,1,986,531,455,2394,1288,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3
C2308,1,800033,Anantnag (M Cl+OG),Urban,12,3693,1968,1725,279,144,135,3414,1824,1590,29,18,11,284,167,117,2612,1399,1213,474,233,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,8
